ANO,Código da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Município,Mortalidade infantil,Probabilidade de sobrevivência até 60 anos,Taxa de analfabetismo - 25 anos ou mais,Taxa de frequência líquida ao fundamental,Taxa de frequência líquida ao médio,Taxa de frequência líquida à pré-escola,Taxa de frequência líquida ao superior,% de 25 anos ou mais com médio completo,% de 25 anos ou mais com superior completo,Renda per capita máxima do 1º quinto mais pobre,Renda per capita mínima do décimo mais rico,% de extremamente pobres,Renda per capita,Renda per capita média do 1º quinto mais pobre,Renda per capita média do décimo mais rico,% de empregados com carteira - 18 anos ou mais,% de empregados sem carteira - 18 anos ou mais,% da população em domicílios com água encanada,% da população em domicílios com energia elétrica,% de mulheres de 10 a 14 anos que tiveram filhos,% de mulheres de 15 a 17 anos que tiveram filhos,% de pessoas em domicílios sem energia elétrica,População residente masculina,População residente feminina,População rural,População total,População urbana,População total em domicílios particulares permanentes,IDHM,IDHM Educação,IDHM Longevidade,IDHM Renda,Sigla da Unidade da Federação,Nome das Grandes Regiões,PIB per capita a preços correntes,% de empregados total - 18 anos ou mais
2010,26,Pernambuco,260190,BEZERROS,26.6,82.03,34.62,91.47,32.33,52.96,7.03,15.57,3.75,98.4,656.67,14.75,351.75,47.05,1390.37,20.06,32.85,83.81,99.28,0.14,5.22,0.72,28050,30618,8928,58668,49740,58612,0.606,0.487,0.752,0.608,PE,Nordeste,5746.13,52.91
2010,26,Pernambuco,260200,BODOCÓ,27.9,81.3,38.68,93.23,28.65,33.56,6.08,15.27,3.39,42.4,510.0,28.08,234.36,23.84,874.45,9.18,37.48,47.85,96.47,0.6,5.33,3.53,17621,17537,22334,35158,12824,34990,0.565,0.445,0.745,0.543,PE,Nordeste,4763.22,46.66
2010,26,Pernambuco,260210,BOM CONSELHO,36.1,76.92,42.17,94.83,26.33,43.88,5.37,16.51,3.88,53.0,564.0,27.22,305.57,28.39,1496.92,12.6,29.83,68.85,99.44,1.34,10.89,0.56,22004,23499,15724,45503,29779,45286,0.563,0.433,0.704,0.585,PE,Nordeste,6826.26,42.43
2010,26,Pernambuco,260220,BOM JARDIM,24.0,83.53,38.12,90.35,42.17,52.54,4.86,14.87,2.7,55.0,520.0,21.75,248.98,28.44,881.17,18.96,17.83,68.61,99.57,0.81,5.6,0.43,18477,19349,22631,37826,15195,37790,0.602,0.515,0.767,0.552,PE,Nordeste,4953.3,36.79
2010,26,Pernambuco,260230,BONITO,26.1,82.31,39.83,94.57,29.66,61.0,3.1,14.85,4.0,62.0,516.0,23.7,258.52,29.77,1063.65,16.09,40.3,88.36,99.3,0.89,4.05,0.7,18577,18989,11358,37566,26208,37449,0.561,0.42,0.754,0.559,PE,Nordeste,5411.6,56.39
2010,26,Pernambuco,260240,BREJÃO,31.6,79.26,40.11,94.97,25.92,46.91,2.83,13.73,2.83,72.5,510.0,19.77,230.85,35.11,799.71,13.24,32.57,81.76,99.4,0.0,16.21,0.6,4334,4510,5280,8844,3564,8827,0.547,0.417,0.725,0.54,PE,Nordeste,6256.92,45.81
2010,26,Pernambuco,260250,BREJINHO,41.3,74.36,33.43,95.78,42.76,59.76,9.23,14.12,4.6,56.67,513.33,22.81,266.21,29.61,878.66,18.17,30.95,50.4,98.59,0.29,7.63,1.41,3608,3699,3921,7307,3386,7297,0.574,0.493,0.681,0.563,PE,Nordeste,4144.37,49.120000000000005
2010,26,Pernambuco,260260,BREJO DA MADRE DE DEUS,29.8,80.23,41.1,91.68,21.57,44.56,2.57,11.09,2.81,98.0,510.67,12.87,296.7,55.31,1071.1,10.61,43.78,54.89,99.42,0.0,15.82,0.58,22180,23000,10056,45180,35124,45081,0.562,0.417,0.734,0.581,PE,Nordeste,4280.7,54.39
2010,26,Pernambuco,260270,BUENOS AIRES,22.2,84.63,35.39,92.18,23.59,59.89,6.02,17.14,2.37,95.67,525.0,13.79,254.03,47.59,859.69,30.72,24.47,83.66,99.43,0.0,15.28,0.57,6197,6340,4620,12537,7917,12515,0.593,0.481,0.778,0.556,PE,Nordeste,4801.08,55.19
2010,26,Pernambuco,260280,BUÍQUE,27.7,81.43,51.05,90.53,23.98,42.34,2.45,9.18,2.69,28.0,425.0,38.73,176.76,17.16,725.05,8.96,28.98,49.71,97.47,0.0,4.97,2.53,25641,26464,30910,52105,21195,51801,0.527,0.395,0.746,0.497,PE,Nordeste,5243.77,37.94
2010,26,Pernambuco,260290,CABO DE SANTO AGOSTINHO,17.2,87.9,16.16,90.03,35.48,62.28,5.59,33.48,3.6,142.5,805.0,5.98,467.07,88.55,2009.23,61.74,17.7,94.52,99.93,0.4,10.81,0.07,90859,94166,17242,185025,167783,184209,0.686,0.609,0.812,0.654,PE,Nordeste,24179.78,79.44
2010,26,Pernambuco,260300,CABROBÓ,22.9,84.18,30.59,91.07,33.32,55.93,5.96,19.79,3.8,63.75,540.0,22.12,298.14,33.66,1391.44,11.85,37.65,79.12,98.03,0.55,11.78,1.97,15052,15821,11075,30873,19798,30777,0.623,0.539,0.773,0.581,PE,Nordeste,6051.35,49.5
2010,26,Pernambuco,260310,CACHOEIRINHA,26.4,82.17,39.97,93.0,24.95,59.9,5.91,13.5,2.24,92.0,582.5,15.44,308.18,45.83,1061.9,10.8,35.34,68.18,99.38,1.07,10.65,0.62,9104,9715,3614,18819,15205,18774,0.579,0.439,0.753,0.587,PE,Nordeste,5491.25,46.14
2010,26,Pernambuco,260320,CAETÉS,30.2,80.02,49.7,88.75,29.0,68.67,5.34,7.69,1.58,22.33,500.0,42.77,176.77,6.17,705.41,5.33,18.27,26.91,99.46,0.61,8.04,0.54,13172,13405,19057,26577,7520,26504,0.522,0.392,0.732,0.497,PE,Nordeste,3970.28,23.6
2010,26,Pernambuco,260330,CALÇADO,30.6,79.85,40.84,95.27,32.87,58.02,4.29,13.15,2.21,50.0,510.0,30.24,215.47,26.69,786.48,3.49,22.37,46.17,99.46,0.0,5.16,0.54,5566,5559,7315,11125,3810,11096,0.566,0.468,0.731,0.529,PE,Nordeste,5031.52,25.86
2010,26,Pernambuco,260340,CALUMBI,33.7,78.15,40.83,90.99,39.64,36.36,6.72,12.89,2.15,42.5,511.5,25.95,272.66,25.04,1088.01,11.94,29.03,81.56,99.58,0.0,5.95,0.42,2722,2926,3468,5648,2180,5645,0.571,0.46,0.715,0.567,PE,Nordeste,4364.98,40.97
2010,26,Pernambuco,260345,CAMARAGIBE,18.1,87.17,13.34,90.05,41.26,58.33,8.72,35.45,5.12,158.0,833.33,5.1,473.78,98.43,1946.88,53.58,21.35,94.34,99.85,0.92,4.86,0.15,69212,75254,0,144466,144466,143599,0.692,0.628,0.805,0.656,PE,Nordeste,5237.1,74.93
2010,26,Pernambuco,260350,CAMOCIM DE SÃO FÉLIX,29.2,80.57,40.44,93.91,32.89,69.74,4.25,13.4,3.05,80.0,560.0,16.0,305.53,47.28,1251.54,13.77,44.79,88.55,99.42,0.11,13.3,0.58,8322,8782,2777,17104,14327,17019,0.588,0.472,0.738,0.585,PE,Nordeste,5368.15,58.56
2010,26,Pernambuco,260360,CAMUTANGA,25.2,82.85,33.7,93.03,31.01,43.56,5.71,20.86,4.2,94.67,545.0,15.0,278.04,45.78,970.11,23.72,29.43,89.44,98.66,0.0,12.57,1.34,4086,4070,1622,8156,6534,8156,0.606,0.514,0.76,0.57,PE,Nordeste,18283.7,53.15
2010,26,Pernambuco,260370,CANHOTINHO,31.7,79.21,45.35,89.87,27.4,43.13,2.88,14.93,2.92,55.0,510.5,23.79,234.75,24.69,943.71,15.08,26.71,78.26,98.35,2.29,9.67,1.65,12365,12156,10415,24521,14106,23566,0.541,0.403,0.725,0.543,PE,Nordeste,4330.8,41.79
2010,26,Pernambuco,260380,CAPOEIRAS,27.7,81.42,40.96,93.9,30.98,24.84,2.85,10.44,1.71,40.4,507.5,26.23,215.71,20.8,737.38,6.3,21.83,38.78,99.6,0.0,5.58,0.4,9772,9821,13330,19593,6263,19483,0.549,0.419,0.746,0.529,PE,Nordeste,4726.03,28.13
2010,26,Pernambuco,260390,CARNAÍBA,31.3,79.45,35.21,88.15,40.49,57.46,4.71,15.24,3.92,30.0,516.5,30.19,229.87,21.09,880.37,11.84,24.78,60.89,99.37,0.0,7.99,0.63,9166,9408,10950,18574,7624,18569,0.583,0.505,0.727,0.54,PE,Nordeste,3951.77,36.620000000000005
2010,26,Pernambuco,260392,CARNAUBEIRA DA PENHA,26.0,82.37,36.19,96.4,41.57,36.9,7.86,17.68,2.79,26.8,390.0,40.47,170.02,17.34,665.26,4.81,33.86,42.1,97.35,0.0,8.03,2.65,5989,5793,9800,11782,1982,11767,0.573,0.508,0.755,0.491,PE,Nordeste,4092.74,38.67
2010,26,Pernambuco,260400,CARPINA,17.9,87.29,19.96,91.22,38.8,62.59,8.98,33.81,6.93,126.8,815.0,8.86,403.76,69.48,1548.07,41.58,28.51,90.06,99.68,0.0,6.07,0.32,35563,39295,2802,74858,72056,74639,0.68,0.619,0.806,0.63,PE,Nordeste,7725.5,70.09
2010,26,Pernambuco,260410,CARUARU,18.91,86.69,19.21,89.8,32.29,53.93,10.19,29.23,7.63,164.4,1020.0,5.66,553.99,95.97,2369.61,34.62,23.0,89.22,99.68,0.18,7.74,0.32,149153,165759,35323,314912,279589,313111,0.677,0.569,0.799,0.681,PE,Nordeste,9536.83,57.62
2010,26,Pernambuco,260415,CASINHAS,32.5,78.79,41.23,92.54,36.82,60.83,1.75,11.14,2.14,53.2,447.0,23.28,200.83,21.95,574.42,21.65,23.84,23.16,99.14,0.0,5.02,0.86,6799,6967,12062,13766,1704,13762,0.567,0.489,0.721,0.518,PE,Nordeste,4894.78,45.489999999999995
2010,26,Pernambuco,260420,CATENDE,25.2,82.86,34.07,91.41,30.05,47.11,4.06,23.88,4.47,77.33,590.0,17.49,292.74,34.19,1211.38,33.58,26.19,84.24,99.67,1.99,10.68,0.33,18303,19517,8959,37820,28861,37017,0.609,0.515,0.76,0.578,PE,Nordeste,5106.07,59.769999999999996
2010,26,Pernambuco,260430,CEDRO,33.4,78.34,30.21,90.78,43.45,60.0,6.4,20.02,4.41,61.17,510.0,22.82,269.64,35.22,1186.18,13.97,43.53,65.57,99.44,0.0,2.95,0.56,5391,5387,4487,10778,6291,10763,0.615,0.573,0.717,0.565,PE,Nordeste,4281.32,57.5
