Id,Fontes de dados mais usadas,Dados relacionais (estruturados em bancos SQL),Dados armazenados em bancos NoSQL,Imagens,Textos/Documentos,Vídeos,Áudios,Planilhas,Dados georeferenciados,Linguagens de programação utilizadas,SQL,R ,Python,C/C++/C#,.NET,Java,Julia,SAS/Stata,Visual Basic/VBA,Scala,Matlab,Rust,PHP,JavaScript,Não utilizo nenhuma linguagem,Ferramenta de BI utilizada no dia a dia,Microsoft PowerBI,Qlik View/Qlik Sense,Tableau,Metabase,Superset,Redash,Looker,Looker Studio(Google Data Studio),Amazon Quicksight,Mode,Alteryx,MicroStrategy,IBM Analytics/Cognos,SAP Business Objects/SAP Analytics,Oracle Business Intelligence,Salesforce/Einstein Analytics,Birst,SAS Visual Analytics,Grafana,TIBCO Spotfire,Pentaho,Fazemos todas as análises utilizando apenas Excel ou planilhas do google,Não utilizo nenhuma ferramenta de BI no trabalho
07podb88144utvmy9lk0x07podb8k8nl,"Dados relacionais (estruturados em bancos SQL), Planilhas",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Outra opção,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
083f331tparwm4083fxbusb0cps0rmwa,"Textos/Documentos, Planilhas",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Não utilizo nenhuma ferramenta de BI no trabalho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
08f7gp5stfs0txz08fn357e56e1co6sj,"Dados relacionais (estruturados em bancos SQL), Planilhas",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"SQL, Python, R, JavaScript",1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Microsoft PowerBI, Looker Studio (antigo Google Data Studio)",1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
091jp2ibksf49d1cgtz0091jp2bpsxzx,"Dados relacionais (estruturados em bancos SQL), Planilhas",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"R, Python, SQL, PHP, JavaScript",1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Microsoft PowerBI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0aadbbqu8p2hf3a0aadbshkx5p9ty80m,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Microsoft PowerBI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0an4fvp64oeblyt70k00an4fvtn9vcle,Dados relacionais (estruturados em bancos SQL),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Looker Studio (antigo Google Data Studio),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0autzixgz8xh4s7nwdw70autzmjayn79,"Planilhas, Dados relacionais (estruturados em bancos SQL)",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Salesforce/Einstein Analytics, Qlik View/Qlik Sense, Microsoft PowerBI",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0ayla3c460hpsv520ayla3i1xyyhg350,Dados relacionais (estruturados em bancos SQL),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Looker Studio (antigo Google Data Studio), Metabase",0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0azf0jf1ydfqkp0azfxtfwkz1ph9k98y,"Dados relacionais (estruturados em bancos SQL), Planilhas",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"SAS Visual Analytics, Fazemos todas as análises utilizando apenas Excel ou planilhas do google, Tableau",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0b3av6hp5sh4tl79rh0b3avpntmyuqiu,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Python,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não utilizo nenhuma ferramenta de BI no trabalho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
