Id,Faixa idade,Gênero,Cor/raça/etnia,PCD,vive_no_brasil,uf onde mora,Regiao onde mora,Nivel de Ensino,Área de Formação
ua464y8n3pb4qr0ua464y8b49j71herm,25-29,Feminino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias
uac6qhk0kp3brquduac6wknpd3hq6s0b,25-29,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
uadn921nmixc3tracguadnuuegdw5g5p,30-34,Feminino,Branca,Não,1,RJ,Sudeste,Pós-graduação,Outras Engenharias
uadtbpas0pysusglhuadtb8lendyqsq4,25-29,Masculino,Branca,Não,1,MG,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
uapj98war86u7ose2tgsjhj20mkzvdz7,25-29,Masculino,Parda,Não,1,BA,Nordeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
uat6jowag2z6scc8iqfc3uat6jowanji,25-29,Masculino,Parda,Não,1,MG,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
uatadj377f12vftyuatt26ymez2yc5k0,30-34,Masculino,Branca,Não,1,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
ubhtvbgun2vwelubhf39uak6fazdbhvm,25-29,Masculino,Parda,Não,1,MG,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
uc3pbvhrsf8vqqctsaynvqyuc3pbvhn7,25-29,Masculino,Branca,Sim,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
ucbaz1elcd3es9kmvfgwducbaz1l8hxy,40-44,Masculino,Branca,Não,1,MS,Centro-oeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
ucgqrq0gchv5sh2ucgqrq1omwfohcrxy,22-24,Masculino,Branca,Não,1,MG,Sudeste,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
ucxls9qfnoi5ct3tfuc5z94ozdm975wl,50-54,Feminino,Parda,Não,1,RJ,Sudeste,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
ud0himttrlz62hud0hic7x4qwqo8b4bt,30-34,Masculino,Branca,Não,1,CE,Nordeste,Doutorado ou Phd,Química / Física
ud8wm6fyfti9uzsnvaud8wtesbovm0fe,25-29,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias
udclngygf02gz1qr9yudcl3hgbv0woh9,17-21,Masculino,Branca,Não,1,MG,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
ude1gcd73flhl8uude1s9f2rbk3em8qx,30-34,Masculino,Branca,Não,1,MG,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
udkyvmk4pscm8mljhrudkyvmi5vzg1c1,30-34,Masculino,Branca,Não,1,SP,Sudeste,Pós-graduação,Outras Engenharias
udughwdvh1o2cx9sbqrum4udughwd3fb,40-44,Masculino,Branca,Não,1,PR,Sul,Mestrado,Outras Engenharias
ue0qan4ht0gv14gxue0qa85l239mwzdb,45-49,Feminino,Parda,Não,1,RJ,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
ue1iu7u19vdy5jdue1iu7myy8art7fsc,50-54,Masculino,Branca,Não,1,RS,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
uei16toixf8frhcgln8uei169sigg3st,30-34,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
ueuk8qr41txh10j0ueuk8nyor01fys7a,17-21,Masculino,Branca,Não,1,PR,Sul,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
ueysz1j5idi3fnd97bh5ueysz1kpchg3,25-29,Masculino,Branca,Não,1,SP,Sudeste,Estudante de Graduação,Outras Engenharias
uf5w0clh9puxz2aca8uf5wks1oieivjb,22-24,Masculino,Branca,Não,1,SP,Sudeste,Pós-graduação,Outra opção
uf5wlo4mzaw2nsd2uf5w7xhf0u9cac8a,35-39,Masculino,Branca,Não,1,PR,Sul,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
uf73wm0av5rj4y5jcn4uf73wmirg84sz,30-34,Masculino,Branca,Não,1,RS,Sul,Estudante de Graduação,Outras Engenharias
ug4cf1kiwmazjm24k2eug4cf1zki0xcg,40-44,Masculino,Branca,Não,1,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
ugh0swijvzu48jsli1ugh0gtpxb0o148,25-29,Masculino,Parda,Não,1,AL,Nordeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
uguf34e2pywe967uugjy962zzqk74i50,40-44,Masculino,Branca,Não,1,RS,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
uhjqj9fj73t0hxxwsdisuhjqj9s34ttx,25-29,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias
uhr25ka5s5oldqbj7iehuhr25kafs0ie,30-34,Masculino,Parda,Não,1,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias
