CO_IES,NU_ANO_CENSO,NO_UF,SG_UF,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,NO_CINE_AREA_GERAL,QT_VG_TOTAL,QT_INSCRITO_TOTAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_CONC,QT_CONC_MASC,QT_CONC_FEM,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_DEFICIENTE,QT_CONC_DEFICIENTE,NO_IES
1,2012,Mato Grosso,MT,1,1,"Negócios, administração e direito",94.0,1882.0,93.0,47.0,46.0,35.0,20.0,32.0,3.0,0.0,3.0,42.0,18.0,24.0,25.0,3.0,10.0,2.0,0.0,2.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,"Ciências sociais, comunicação e informação",84.0,1173.0,94.0,44.0,50.0,40.0,18.0,31.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Saúde e bem-estar,32.0,797.0,41.0,34.0,7.0,14.0,9.0,12.0,0.0,0.0,6.0,54.0,7.0,47.0,28.0,3.0,21.0,0.0,0.0,2.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,"Agricultura, silvicultura, pesca e veterinária",84.0,1198.0,77.0,36.0,41.0,44.0,10.0,19.0,2.0,0.0,2.0,30.0,11.0,19.0,17.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,"Engenharia, produção e construção",84.0,1299.0,80.0,13.0,67.0,43.0,12.0,23.0,1.0,0.0,1.0,23.0,21.0,2.0,10.0,2.0,8.0,1.0,0.0,2.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Educação,53.0,946.0,46.0,19.0,27.0,14.0,12.0,17.0,2.0,1.0,0.0,27.0,15.0,12.0,8.0,1.0,13.0,1.0,0.0,4.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Educação,47.0,494.0,28.0,13.0,15.0,12.0,5.0,9.0,1.0,0.0,1.0,21.0,10.0,11.0,5.0,2.0,10.0,0.0,0.0,4.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Educação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,1.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Educação,32.0,360.0,23.0,18.0,5.0,8.0,2.0,10.0,2.0,0.0,1.0,15.0,2.0,13.0,2.0,3.0,7.0,0.0,0.0,3.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,"Ciências sociais, comunicação e informação",42.0,703.0,29.0,25.0,4.0,13.0,6.0,9.0,1.0,0.0,0.0,31.0,5.0,26.0,10.0,2.0,13.0,1.0,0.0,5.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,"Ciências sociais, comunicação e informação",122.0,265.0,115.0,51.0,64.0,45.0,19.0,48.0,2.0,0.0,1.0,25.0,16.0,9.0,12.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Educação,33.0,52.0,30.0,15.0,15.0,13.0,6.0,9.0,1.0,0.0,1.0,6.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,"Ciências sociais, comunicação e informação",32.0,59.0,30.0,25.0,5.0,14.0,6.0,10.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,"Agricultura, silvicultura, pesca e veterinária",61.0,419.0,57.0,44.0,13.0,31.0,3.0,22.0,0.0,0.0,1.0,46.0,11.0,35.0,19.0,6.0,20.0,1.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
